0,1,2,3,4,5,6,7,8,9,10
12960,0.14,0.73,6,237,5,0,0,7,2,0
14887,0.42,0.47,2,135,3,0,0,1,1,1
1236,0.4,0.49,2,140,3,0,0,1,2,1
10360,0.24,0.65,4,248,3,0,0,5,2,0
1255,0.38,0.49,2,144,3,0,0,3,1,1
3449,0.9,0.99,4,190,2,0,0,1,1,0
6052,0.62,0.57,4,215,3,0,0,1,2,0
12698,0.11,0.8,6,306,4,0,0,1,1,1
176,0.54,0.74,4,164,2,0,0,1,1,1
7179,0.97,0.97,4,242,2,0,0,2,2,0
4428,0.69,0.85,3,200,2,0,0,9,2,0
1220,0.75,1.0,4,243,5,0,0,9,1,1
14254,0.4,0.46,2,127,3,0,0,4,1,1
9464,0.37,0.62,4,253,2,0,0,10,2,0
5656,0.17,0.86,3,286,6,0,0,10,3,0
3319,0.48,0.86,5,246,3,0,0,4,1,0
1822,0.11,0.88,6,294,4,0,0,7,2,1
6633,0.95,0.74,3,139,2,0,0,7,2,0
7186,0.58,0.62,5,270,2,0,0,1,3,0
4572,0.69,0.92,4,149,2,0,0,8,2,0
9867,0.12,0.81,4,287,6,0,0,1,2,0
5458,0.96,0.75,3,231,3,0,0,4,1,0
11147,0.95,0.61,3,224,2,1,0,5,1,0
12763,0.41,0.47,2,131,3,0,0,10,2,1
3502,0.65,0.36,2,282,3,0,0,8,2,0
14310,0.11,0.97,6,284,4,0,0,1,1,1
814,0.15,0.55,6,139,4,0,0,5,3,1
1683,0.59,1.0,3,156,4,0,0,2,1,1
8272,0.8,0.51,4,141,3,1,0,1,2,0
12236,0.83,0.85,4,255,5,0,0,6,1,1
1639,0.42,0.55,2,146,3,0,0,3,1,1
14788,0.48,0.78,2,198,2,0,0,4,2,1
3869,0.49,0.51,4,133,3,0,0,5,1,0
123,0.75,1.0,4,216,6,0,0,4,1,1
2765,0.69,0.65,4,232,2,1,0,1,1,0
14263,0.44,0.55,2,135,3,0,0,5,1,1
1376,0.46,0.5,2,141,3,0,0,1,1,1
6088,0.62,0.67,5,259,3,0,0,4,2,0
4253,0.14,0.66,6,142,5,0,0,5,1,0
6379,0.67,0.83,3,260,3,0,0,4,1,0
974,0.37,0.47,2,150,3,0,0,4,2,1
13183,0.8,0.8,4,263,4,0,0,5,2,0
10551,0.21,0.81,5,142,4,0,0,1,2,0
14991,0.89,0.88,5,228,5,1,0,5,1,1
3943,0.89,0.9,4,153,3,0,0,5,1,0
12191,0.09,0.8,7,283,5,0,0,4,1,1
9523,0.52,0.57,3,183,2,0,0,4,1,0
1336,0.87,0.9,3,307,5,0,0,4,1,1
1499,0.42,0.49,2,152,3,0,0,5,1,1
12534,0.43,0.51,2,136,3,0,0,3,2,1
12680,0.86,1.0,5,229,5,0,0,8,1,1
14506,0.1,0.93,6,253,4,0,0,7,2,1
604,0.83,0.9,5,245,5,0,0,8,1,1
12779,0.1,0.92,7,269,4,0,0,1,2,1
9816,1.0,0.58,4,229,2,1,0,4,2,0
14813,0.84,0.94,5,222,6,0,0,8,1,1
10275,0.61,0.52,5,255,3,0,0,5,2,0
12005,0.37,0.52,2,159,3,0,0,1,1,1
14215,0.72,0.87,5,223,5,0,0,1,1,1
1581,0.49,0.73,4,244,3,0,0,5,1,1
11234,0.7,0.85,4,142,2,0,0,5,1,0
12626,0.78,0.98,5,263,6,0,0,1,1,1
8417,0.21,0.39,2,118,4,0,0,1,2,0
9908,0.48,0.81,3,212,2,0,0,4,1,0
3072,0.49,0.69,2,188,4,0,0,1,2,0
12509,0.38,0.55,2,158,3,0,0,5,1,1
12579,0.9,0.96,5,243,5,0,0,4,2,1
9997,0.97,0.55,4,166,3,1,0,2,3,0
75,0.11,0.97,6,277,4,0,0,8,2,1
12160,0.45,0.45,2,132,3,0,0,10,1,1
317,0.43,0.47,2,135,3,0,0,1,1,1
12804,0.59,0.72,4,168,4,0,0,6,2,0
10555,0.64,0.61,4,136,3,0,0,1,3,0
7431,0.79,0.77,6,233,6,0,0,1,1,0
584,0.44,0.56,2,145,3,0,0,5,2,1
313,0.4,0.54,2,139,3,0,0,10,1,1
1930,0.45,0.46,2,149,3,0,0,1,1,1
1372,0.42,0.46,2,143,3,0,0,9,1,1
12392,0.45,0.55,2,148,3,0,0,1,1,1
14905,0.44,0.56,2,133,3,0,0,4,2,1
2658,0.55,0.76,4,233,4,0,0,7,1,0
3550,0.86,0.51,4,152,3,0,0,4,1,0
7127,0.93,0.78,2,188,2,0,0,1,1,0
3754,0.48,0.76,5,236,2,0,0,1,1,0
11415,0.89,0.99,2,258,3,0,0,1,2,0
12462,0.43,0.5,2,137,3,0,0,5,2,1
563,0.4,0.57,2,160,3,0,0,2,1,1
891,0.43,0.57,2,131,3,1,0,5,2,1
3367,0.67,0.6,3,157,3,0,0,10,1,0
3292,0.21,0.57,5,239,3,0,0,1,3,0
14267,0.37,0.46,2,140,3,0,0,5,1,1
12040,0.41,0.54,2,152,3,0,0,4,1,1
3645,0.73,0.96,2,151,3,0,0,4,2,0
9034,0.77,0.66,3,147,2,0,0,1,2,0
9025,0.63,0.65,4,246,6,1,0,1,1,0
6524,0.53,0.79,3,206,3,0,0,4,2,0
8358,0.94,0.53,5,169,3,0,0,4,1,0
12470,0.41,0.52,2,159,3,0,0,1,1,1
1278,0.78,1.0,4,267,5,0,0,4,2,1
14654,0.77,1.0,5,229,5,0,0,6,1,1
4703,0.77,0.61,4,178,2,1,0,5,3,0
13315,0.77,0.81,4,164,3,0,0,4,3,0
1227,0.4,0.48,2,142,3,0,0,10,1,1
3784,0.85,0.55,4,233,2,1,0,4,1,0
13932,0.31,0.63,3,150,3,1,0,1,2,0
2976,0.95,0.61,3,267,2,0,0,9,1,0
13598,0.92,0.6,4,161,3,0,0,7,1,0
3289,0.54,0.5,4,224,3,0,0,10,1,0
12700,0.38,0.45,2,156,3,0,0,1,2,1
1992,0.38,0.49,2,155,3,0,0,10,1,1
8530,0.96,0.48,3,182,2,1,0,5,2,0
7793,0.83,0.68,4,198,3,0,0,10,2,0
11030,0.52,0.59,5,150,2,0,0,1,1,0
341,0.09,0.89,7,308,5,0,0,3,2,1
9194,0.66,0.54,2,136,2,0,0,4,1,0
1379,0.8,0.87,5,240,6,0,0,4,1,1
7467,0.57,0.42,2,248,4,0,0,7,2,0
780,0.11,0.9,7,247,4,0,0,1,2,1
14333,0.4,0.46,2,135,3,0,0,4,1,1
12154,0.4,0.52,2,155,3,0,0,10,1,1
9727,0.63,0.74,4,202,3,0,0,3,1,0
6439,0.83,0.76,3,262,2,0,0,2,2,0
12855,0.91,0.78,3,269,3,1,0,4,3,0
12617,0.39,0.49,2,144,3,0,0,10,2,1
5936,0.87,0.57,4,231,4,0,0,4,2,0
12757,0.77,0.92,5,235,5,0,0,7,1,1
3013,0.73,0.93,5,167,3,0,0,3,1,0
2059,0.63,0.66,4,237,2,1,0,9,2,0
5952,0.14,0.79,5,163,6,0,0,9,1,0
13847,0.59,0.73,4,247,10,0,0,6,3,0
1865,0.37,0.5,2,154,3,0,0,3,2,1
12373,0.39,0.48,2,141,3,0,0,8,2,1
11927,0.78,0.53,6,168,3,0,0,1,1,0
5090,0.84,0.95,4,208,3,1,0,5,2,0
4407,0.37,0.4,4,161,2,0,0,5,1,0
10515,0.25,0.53,4,160,4,0,0,4,2,0
1214,0.38,0.55,2,134,3,0,0,7,1,1
256,0.44,0.45,2,156,3,0,0,1,2,1
325,0.37,0.45,2,131,3,0,0,1,1,1
3009,0.6,0.61,4,209,3,0,0,2,1,0
11906,0.21,0.85,6,285,7,0,0,1,2,0
12301,0.45,0.55,2,151,3,0,0,7,2,1
11573,0.95,0.66,4,223,10,0,0,7,1,0
14588,0.56,0.71,4,296,2,0,0,7,2,1
112,0.09,0.85,6,289,4,0,0,3,3,1
4046,0.91,0.72,3,213,3,0,0,10,1,0
4485,0.17,0.4,4,286,3,0,0,5,1,0
10682,0.82,0.49,4,180,2,0,0,9,1,0
14059,0.62,0.76,5,198,3,0,0,1,1,0
537,0.11,0.85,6,305,4,0,0,2,2,1
2192,0.72,0.65,4,224,3,0,0,5,1,0
14709,0.59,0.49,7,263,4,0,0,4,2,1
789,0.78,0.81,3,222,2,0,0,1,1,1
8482,0.97,0.57,3,144,3,0,0,10,1,0
3924,0.98,0.66,3,154,2,0,0,3,2,0
847,0.1,0.84,6,253,4,0,0,10,2,1
3520,0.64,0.86,5,274,2,1,0,1,1,0
4415,0.62,0.71,3,177,3,1,0,7,1,0
513,0.09,0.96,6,259,4,0,0,5,1,1
12535,0.75,0.85,5,240,6,1,0,10,2,1
5935,0.84,0.6,3,186,3,1,0,5,2,0
8532,0.96,0.85,3,168,3,0,0,4,2,0
14974,0.36,0.52,2,143,3,0,0,2,2,1
64,0.36,0.56,2,132,3,0,0,7,2,1
9417,0.13,0.62,3,264,6,0,0,2,1,0
12842,0.95,0.71,4,151,4,0,0,1,2,0
8909,0.4,0.73,4,146,3,0,0,5,1,0
1380,0.37,0.48,2,154,3,0,0,6,1,1
542,0.81,0.87,4,254,5,0,0,10,1,1
6759,0.64,0.41,3,231,6,0,0,4,2,0
13973,0.88,0.83,4,273,10,0,0,1,2,0
14373,0.9,0.98,5,243,6,0,0,10,1,1
12651,0.39,0.45,2,134,3,0,0,4,2,1
821,0.11,0.93,7,284,4,0,0,4,1,1
12038,0.45,0.5,2,126,3,0,0,4,1,1
12271,0.44,0.51,2,127,3,0,0,4,2,1
12451,0.81,0.9,4,226,5,0,0,8,2,1
130,0.37,0.45,2,151,3,0,0,5,1,1
3860,0.53,0.5,6,264,6,0,0,4,1,0
12773,0.31,0.77,4,149,3,0,0,1,2,1
14170,0.16,0.63,5,266,7,0,0,7,1,0
12203,0.76,1.0,5,219,5,0,0,5,1,1
9980,0.95,0.65,3,183,3,0,0,5,2,0
7090,0.46,0.49,5,286,5,0,0,8,1,0
4708,0.49,0.48,4,249,3,0,0,5,2,0
3517,0.87,0.98,4,173,3,0,0,10,1,0
225,0.4,0.56,2,149,3,0,0,2,1,1
423,0.86,1.0,5,257,5,0,0,4,2,1
448,0.1,0.84,5,298,4,0,0,7,1,1
4482,0.75,0.65,4,148,2,0,0,5,1,0
1235,0.42,0.49,2,145,3,0,0,1,2,1
5173,0.77,0.54,3,227,4,0,0,6,2,0
5075,0.61,0.75,2,100,4,0,0,4,1,0
3314,0.53,0.73,4,227,3,0,0,3,2,0
14520,0.41,0.48,2,145,3,0,0,2,2,1
10046,0.78,0.63,4,158,3,0,0,4,2,0
12502,0.66,0.57,5,161,5,0,0,4,3,1
14434,0.37,0.51,2,153,3,0,0,8,1,1
11290,0.98,0.55,3,166,6,1,0,1,2,0
159,0.39,0.5,2,136,3,0,0,6,1,1
9097,0.83,0.88,3,223,3,1,0,1,1,0
14475,0.11,0.78,6,260,4,0,0,3,2,1
1430,0.87,0.91,4,255,5,0,0,5,2,1
12706,0.45,0.54,2,152,3,0,0,1,1,1
4004,0.58,0.73,5,162,3,1,0,4,2,0
14529,0.37,0.46,2,153,3,0,0,1,1,1
1282,0.75,0.88,5,270,5,0,0,7,3,1
6925,0.36,0.93,3,162,5,0,0,5,1,0
4948,0.57,0.6,4,248,4,0,0,7,1,0
14744,0.1,0.84,6,246,4,0,0,3,2,1
1925,0.82,0.86,5,257,5,0,0,1,1,1
7708,0.55,0.97,4,162,3,0,0,9,1,0
14561,0.4,0.46,2,149,3,0,0,4,2,1
12517,0.1,0.89,6,247,4,0,0,4,1,1
12546,0.78,1.0,5,236,5,0,0,1,2,1
14784,0.75,0.97,5,243,6,0,0,4,2,1
478,0.09,0.79,6,275,4,0,0,1,1,1
11593,0.95,0.84,3,240,7,0,0,1,2,0
1679,0.75,0.89,5,276,5,0,0,9,1,1
14107,0.6,0.42,2,109,6,0,0,1,1,0
2723,0.17,0.56,5,218,4,1,0,5,2,0
12084,0.84,0.85,4,249,6,0,0,10,1,1
4212,0.61,0.9,5,113,3,0,0,1,2,0
783,0.72,1.0,4,245,5,0,0,1,1,1
11045,0.93,0.99,3,169,3,0,0,4,1,0
1655,0.1,0.89,7,253,4,0,0,5,1,1
14404,0.74,0.91,4,232,5,0,0,4,2,1
1126,0.39,0.57,2,158,3,0,0,4,3,1
287,0.11,0.83,6,306,4,0,0,5,1,1
11857,0.81,0.92,4,268,3,0,0,1,1,0
7445,0.91,0.77,4,239,2,0,0,4,2,0
11168,0.55,0.96,3,194,3,0,0,8,2,0
858,0.11,0.78,6,303,4,0,0,1,2,1
11195,0.61,0.89,3,242,10,0,0,1,3,0
2263,0.61,0.39,3,99,2,0,0,5,1,0
12409,0.91,0.92,4,246,5,0,0,1,1,1
11238,0.24,0.5,4,282,4,1,0,5,1,0
12328,0.88,0.99,5,262,6,0,0,1,1,1
14393,0.1,0.84,6,261,4,0,0,2,2,1
1425,0.45,0.48,2,149,3,0,0,5,1,1
916,0.48,0.88,3,239,3,0,0,1,1,1
8519,0.59,0.75,4,194,2,0,0,4,1,0
1051,0.79,1.0,4,229,5,1,0,6,2,1
5388,0.65,0.87,4,267,2,0,0,4,1,0
11456,0.63,0.48,4,179,3,0,0,10,1,0
10016,0.75,0.95,3,268,3,1,0,1,1,0
5988,0.98,0.87,3,246,3,0,0,3,3,0
2665,0.85,0.9,5,202,3,0,0,7,1,0
12683,0.11,0.87,7,278,4,0,0,1,1,1
13026,0.88,0.61,4,177,4,1,0,5,1,0
1338,0.41,0.56,2,143,3,0,0,4,1,1
14228,0.45,0.47,2,160,3,0,0,1,1,1
7322,0.74,0.73,3,267,3,0,0,8,1,0
14294,0.79,0.59,4,139,3,0,1,6,1,1
9421,0.5,0.56,3,263,4,0,0,3,2,0
265,0.42,0.5,2,139,3,0,0,3,2,1
197,0.27,0.54,7,278,3,0,0,4,1,1
5642,0.38,0.92,5,238,2,0,0,8,1,0
1520,0.4,0.55,2,131,3,0,0,8,2,1
14865,0.37,0.51,2,132,3,0,0,4,2,1
1500,0.44,0.48,2,128,3,0,0,5,1,1
5304,0.71,0.98,5,167,3,0,0,4,1,0
13655,0.58,0.8,4,113,3,0,0,7,2,0
10014,0.49,0.85,3,250,2,0,0,1,2,0
14539,0.88,0.99,5,262,6,0,0,1,1,1
1400,0.11,0.86,6,299,4,1,0,1,1,1
10950,0.49,0.67,3,140,2,0,0,3,2,0
11813,0.82,0.49,5,210,3,0,0,6,3,0
3681,0.97,0.75,2,271,6,0,0,1,1,0
14815,0.83,0.9,5,245,5,0,0,8,1,1
14564,0.91,0.91,4,262,6,0,0,5,1,1
6090,0.87,0.81,5,236,3,0,0,4,2,0
10137,0.94,0.58,4,216,3,0,0,6,1,0
1459,0.4,0.5,2,136,3,0,0,10,1,1
13658,0.31,0.7,3,132,3,0,0,8,1,0
11187,0.8,0.75,4,224,3,0,1,1,2,0
2653,0.86,0.98,5,233,3,0,0,4,1,0
12986,0.76,0.64,4,234,2,0,0,1,3,0
1878,0.39,0.51,2,137,3,0,0,4,1,1
1621,0.45,0.54,2,131,3,0,0,1,2,1
1784,0.43,0.53,2,136,3,0,0,1,2,1
12079,0.43,0.56,2,157,3,0,0,1,1,1
8814,0.48,0.5,6,253,4,0,0,4,3,0
12504,0.43,0.51,2,155,3,0,0,4,2,1
2654,0.38,0.68,5,211,6,0,0,4,1,0
512,0.53,0.85,2,164,5,0,0,5,1,1
10017,0.61,0.64,3,187,2,0,0,1,2,0
12251,0.79,0.87,5,261,5,0,0,1,1,1
14425,0.45,0.46,2,153,3,0,0,6,1,1
6187,0.98,0.6,4,160,3,0,0,4,1,0
4164,0.63,0.9,2,242,3,1,0,4,3,0
3908,1.0,0.81,5,243,3,0,0,1,1,0
3383,0.83,0.95,3,211,2,0,0,1,2,0
1869,0.44,0.56,2,133,3,0,0,4,2,1
10470,0.34,0.69,2,193,3,0,0,1,2,0
473,0.89,0.85,5,266,5,0,0,1,1,1
12015,0.36,0.56,2,137,3,0,0,1,1,1
14810,0.37,0.46,2,157,3,0,0,7,1,1
14536,0.37,0.45,2,131,3,0,0,1,1,1
802,0.43,0.55,2,153,3,0,0,4,2,1
5582,0.48,0.94,4,231,4,0,0,10,2,0
14774,0.4,0.57,2,160,3,0,0,2,1,1
575,0.37,0.49,2,151,3,0,0,4,2,1
14764,0.82,0.85,5,248,5,0,0,1,1,1
14554,0.9,1.0,5,232,5,0,0,4,2,1
1658,0.11,0.86,6,245,4,0,0,5,1,1
14308,0.1,0.77,6,265,4,0,0,1,1,1
5105,0.38,0.5,2,170,3,0,0,8,1,0
86,0.11,0.87,6,305,4,0,0,10,1,1
11440,0.77,0.99,4,260,3,0,0,1,2,0
11131,0.82,0.87,5,145,6,0,0,3,2,0
14915,0.4,0.49,2,144,3,0,0,5,1,1
5461,0.56,0.75,2,264,2,0,0,4,1,0
12521,0.87,0.94,4,274,5,0,0,7,1,1
6788,0.96,0.85,5,171,2,0,0,9,2,0
2906,0.69,0.9,2,155,2,0,0,4,1,0
12145,0.84,0.99,4,267,5,0,0,8,1,1
924,0.44,0.5,2,156,3,0,0,1,2,1
12491,0.53,0.56,4,281,6,0,0,3,2,1
6724,0.65,0.96,5,226,2,1,0,10,2,0
316,0.73,0.86,4,245,6,0,0,1,1,1
14694,0.77,0.87,4,242,6,0,0,1,1,1
1186,0.43,0.49,2,135,3,0,0,4,1,1
12638,0.43,0.52,2,147,3,0,0,1,1,1
12580,0.39,0.55,2,159,3,0,0,4,3,1
247,0.37,0.48,2,159,3,0,0,1,1,1
9283,0.12,0.9,3,200,3,0,0,5,1,0
3734,0.81,0.52,4,270,3,0,0,9,2,0
12228,0.44,0.54,2,149,3,0,0,3,1,1
4037,0.78,0.8,4,175,3,0,0,8,2,0
704,0.44,0.53,2,159,3,0,0,1,1,1
1196,0.8,0.85,4,264,5,0,0,5,2,1
2540,0.68,0.75,6,274,5,0,0,1,1,0
1587,0.76,0.85,5,236,6,0,0,4,2,1
1763,0.41,0.71,3,205,4,0,0,10,1,1
1438,0.4,0.53,2,155,3,0,0,7,3,1
10660,0.92,0.68,5,177,4,0,0,5,2,0
2143,0.91,0.56,4,270,2,0,0,10,2,0
5520,0.98,0.57,5,141,3,0,1,1,3,0
3509,0.66,0.57,3,161,2,1,0,9,2,0
8556,0.85,0.6,3,218,3,0,0,6,1,0
12729,0.43,0.49,2,160,3,0,0,4,2,1
443,0.77,1.0,5,229,5,0,0,6,1,1
6982,0.79,0.89,3,252,2,0,0,3,2,0
4646,0.85,0.58,4,273,4,0,0,7,2,0
14542,0.38,0.57,2,140,3,0,0,1,1,1
3015,0.76,0.73,3,158,2,0,0,4,1,0
4025,0.35,0.41,3,157,2,0,0,5,1,0
9226,0.57,0.98,3,171,3,0,0,8,2,0
3825,0.68,0.55,4,215,4,0,0,1,3,0
13045,0.96,0.81,3,247,3,0,0,9,1,0
12572,0.73,1.0,4,252,5,0,0,4,2,1
14522,0.1,0.93,7,305,4,0,0,4,2,1
14726,0.83,0.96,5,275,5,0,0,5,1,1
11305,0.57,0.9,5,145,3,0,0,2,1,0
4647,0.8,0.94,4,141,3,1,0,8,2,0
10265,0.53,0.57,5,141,3,1,0,4,3,0
10979,0.81,0.55,3,199,2,1,0,7,2,0
4570,0.55,0.62,5,226,3,0,0,7,2,0
8269,0.73,0.74,4,214,3,0,0,1,3,0
12049,0.4,0.54,2,148,3,0,0,5,1,1
987,0.36,0.5,2,158,3,0,0,9,1,1
5274,0.13,0.63,6,219,6,0,0,10,1,0
6269,0.96,0.51,4,237,3,0,0,1,1,0
9897,0.76,0.66,5,206,2,0,0,5,2,0
822,0.74,0.93,5,244,5,0,0,4,1,1
2716,0.93,0.97,4,158,3,1,0,4,2,0
9685,0.38,0.63,2,182,2,0,0,8,2,0
12621,0.8,0.75,3,268,2,0,0,1,2,1
2747,0.94,0.9,2,263,3,0,0,9,1,0
815,0.1,0.92,7,253,4,1,0,5,1,1
11594,0.65,0.85,4,172,3,0,0,1,2,0
1454,0.63,0.83,6,242,5,0,0,2,1,1
352,0.48,0.93,3,219,6,0,0,4,1,1
3710,0.69,0.78,5,267,2,1,0,5,1,0
8251,0.72,0.68,5,162,5,0,0,10,1,0
10102,0.56,0.68,3,144,3,1,0,1,1,0
4098,0.54,0.96,3,147,2,0,0,5,2,0
41,0.87,0.88,5,269,5,0,0,4,1,1
387,0.1,0.93,6,298,4,0,0,4,2,1
1357,0.1,0.79,6,271,4,0,0,4,2,1
10030,0.85,0.77,3,146,4,0,0,2,1,0
7749,0.62,0.65,3,249,3,0,0,4,1,0
878,0.49,0.63,6,265,3,0,0,4,1,1
12452,0.85,0.98,5,248,5,0,0,8,2,1
1834,0.1,0.85,6,266,4,0,0,1,1,1
10040,0.84,0.55,5,264,3,0,0,4,2,0
10759,0.51,0.52,5,261,3,1,0,9,1,0
12742,0.5,0.54,5,153,4,0,0,5,1,1
12464,0.8,0.85,4,273,5,0,0,6,1,1
1343,0.36,0.55,2,131,3,0,0,4,1,1
1071,0.78,0.87,5,243,5,0,0,4,1,1
6831,0.56,0.77,5,238,4,0,0,4,2,0
8694,0.85,1.0,5,244,2,0,0,8,2,0
12134,0.44,0.51,2,138,3,0,0,5,1,1
4055,0.63,0.56,4,274,5,1,0,1,1,0
10329,0.65,0.72,3,248,4,0,0,1,2,0
469,0.9,0.92,5,245,5,0,0,1,1,1
8953,0.49,0.93,3,226,3,0,0,1,1,0
8124,0.97,0.94,3,180,3,0,0,3,1,0
12402,0.76,0.92,4,246,5,0,0,1,1,1
7200,0.66,0.74,4,270,2,1,0,1,1,0
702,0.89,0.82,4,243,5,0,0,1,2,1
14981,0.76,0.89,5,238,5,0,0,4,3,1
32,0.45,0.57,2,134,3,0,0,3,1,1
6613,0.89,0.79,2,208,3,1,0,5,2,0
4461,0.23,0.37,3,247,4,0,0,3,2,0
7160,0.64,0.66,5,266,3,0,0,4,1,0
14891,0.43,0.53,2,147,3,0,0,1,2,1
156,0.11,0.8,6,304,4,0,0,2,1,1
7286,0.62,0.53,4,147,2,0,0,3,1,0
3738,0.16,0.86,2,215,2,0,0,9,2,0
11139,0.75,0.93,3,247,2,0,0,4,3,0
14320,0.71,0.87,3,177,4,0,0,3,2,1
12543,0.77,0.91,5,236,5,0,0,10,2,1
14550,0.39,0.5,2,142,3,0,0,3,2,1
5585,0.23,0.96,2,234,4,0,0,1,2,0
6972,0.81,0.77,5,102,5,0,0,1,2,0
2892,0.29,0.58,5,234,2,0,0,8,1,0
5438,0.58,0.72,4,170,2,0,0,1,2,0
6853,0.53,0.77,2,271,2,0,0,4,1,0
14357,0.41,0.46,2,151,3,0,0,8,1,1
505,0.78,0.83,4,217,6,0,0,5,2,1
7356,0.73,0.94,3,251,6,0,0,1,2,0
8282,0.21,0.55,4,189,2,0,0,4,1,0
6827,0.42,0.38,2,115,3,0,0,3,2,0
12162,0.9,0.98,5,243,6,0,0,10,1,1
544,0.89,0.92,5,237,5,0,0,1,2,1
4457,0.63,0.56,4,228,3,0,0,2,1,0
12474,0.42,0.56,2,149,3,0,0,1,1,1
13497,0.64,0.67,3,143,6,0,0,1,2,0
243,0.38,0.53,2,156,3,0,0,1,1,1
122,0.4,0.46,2,135,3,0,0,4,1,1
7285,0.74,0.87,3,192,3,1,0,3,1,0
13761,0.73,0.92,6,189,3,1,0,1,2,0
11286,0.64,0.67,3,143,6,0,0,1,2,0
1505,0.86,0.91,5,245,5,0,0,5,2,1
4143,0.6,0.53,5,103,2,0,0,1,1,0
14048,0.17,0.55,4,194,3,0,0,8,1,0
333,0.09,0.98,6,271,4,0,0,1,1,1
4199,0.96,0.78,2,284,3,0,0,9,2,0
7848,0.78,0.63,6,111,6,0,0,7,3,0
14224,0.84,0.92,4,234,5,0,0,1,1,1
14110,0.89,0.55,4,159,2,0,0,1,2,0
14549,0.44,0.51,2,140,3,0,0,3,2,1
14747,0.37,0.56,2,156,3,0,0,1,2,1
8319,0.77,0.66,3,260,4,0,0,9,3,0
13392,0.92,0.93,4,225,2,0,1,9,2,0
1903,0.9,0.92,4,271,5,0,0,7,2,1
12375,0.86,0.84,5,254,5,0,0,8,2,1
12086,0.11,0.87,6,305,4,0,0,10,1,1
11582,0.57,0.93,2,204,10,0,0,2,1,0
12282,0.27,0.56,3,301,3,0,0,5,1,1
